Date,Year,是否节假日,所处节日,产品,产品部门,品类,促销活动,折扣类型,促销渠道,促销广告类型,广告媒体名称,客户类型,客户性别,客户城市,客户所在州,客户所在区域,经销商名称,交易类型,支付方式,numeric1,numeric2,销售金额,成本金额,毛利额
1/1/2016,2016,Holiday,ValentinesDay,Pam's Club Ice Cream Sandwhiches,Food,Frozen Goods,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Winston-Salem,North Carolina,South,Ripe Warehouse,购买,Debit,36,-30,4760,4080,806
1/1/2016,2016,Holiday,ValentinesDay,DealZone Ring,Misc,Gifts,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Carrizozo,New Mexico,Southwest,Ripe Warehouse,购买,Credit,4,-67,1200,70,1582.9
1/1/2016,2016,Holiday,ValentinesDay,SanTop Rotisserie Chicken,Food,Meat,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,New Castle,Virginia,East,Ripe Warehouse,购买,Check,-95,89,348,308,737.1
1/1/2016,2016,Holiday,ValentinesDay,Super-Valu Red Peppers,Food,Produce,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Columbus,Ohio,Midwest,Ripe Warehouse,购买,Debit,84,6,4752,1672,3167.6
1/1/2016,2016,Holiday,ValentinesDay,Pam's Club Ice Cream Sandwhiches,Food,Frozen Goods,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,Columbus,Ohio,Midwest,Ripe Warehouse,购买,Credit,-84,-26,3094,2652,425.6
1/1/2016,2016,Holiday,ValentinesDay,SimpleBuy Birth Control,Medical,Pharmacy,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Sioux City,Iowa,Midwest,Ripe Warehouse,购买,Cash,-24,-59,314,298,340.1
1/1/2016,2016,Holiday,ValentinesDay,ValueMart Watermelon,Food,Produce,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Virginia Beach,Virginia,East,Ripe Warehouse,购买,Credit,42,-20,1764,1182,664
1/1/2016,2016,Holiday,ValentinesDay,Mother's Choice Blood Pressure Medicine,Medical,Pharmacy,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,Antwerp,Ohio,Midwest,Ripe Warehouse,购买,Debit,97,49,855,38,1154.1
1/1/2016,2016,Holiday,ValentinesDay,Mother's Choice Rubber Gloves,Non-food,Cleaning Supplies,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,New York City,New York,East,Ripe Warehouse,购买,Debit,9,-37,5740,2930,2955.9
1/1/2016,2016,Holiday,ValentinesDay,EasyFind Camera Batteries,Misc,Photography,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Oklahoma City,Oklahoma,Southwest,Ripe Warehouse,购买,Credit,-9,-1,1005,860,136.1
1/1/2016,2016,Holiday,ValentinesDay,Trader Jon's Frozen Pizza,Food,Frozen Goods,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Jacksonville,Florida,South,Ripe Warehouse,购买,Credit,35,-68,4323,2079,2741.4
1/1/2016,2016,Holiday,ValentinesDay,Trader Jon's Nicotine Patches,Medical,Pharmacy,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Exeter,Nebraska,Midwest,Ripe Warehouse,购买,Credit,-61,13,4224,1485,2694.9
1/1/2016,2016,Holiday,ValentinesDay,DealZone Catfish,Food,Seafood,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,San Francisco,California,West,Ripe Warehouse,购买,Debit,18,35,3537,1908,1769.5
1/1/2016,2016,Holiday,ValentinesDay,SimpleBuy Canned Olives,Food,Canned Goods,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Fort Myers,Florida,South,Ripe Warehouse,购买,Cash,42,-35,3450,1200,2414.5
1/1/2016,2016,Holiday,ValentinesDay,Trader Jon's Potatoes,Food,Produce,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Southfield,Michigan,Midwest,Ripe Warehouse,购买,Cash,-12,7,8420,2720,5692.9
1/1/2016,2016,Holiday,ValentinesDay,Portland's Best Electric Razor,Misc,Gifts,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Inglewood,California,West,Ripe Warehouse,购买,Check,19,31,1128,519,724.1
1/1/2016,2016,Holiday,ValentinesDay,Pam's Club Stuffed Animal,Misc,Gifts,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,San Francisco,California,West,Ripe Warehouse,购买,Cash,-49,49,257,172,276.1
1/1/2016,2016,Holiday,ValentinesDay,Mother's Choice Wheechair,Medical,Medical,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,Bloomington,Illinois,Midwest,Ripe Warehouse,购买,Credit,33,11,3058,2519,584.1
1/1/2016,2016,Holiday,ValentinesDay,Super-Valu Squash,Food,Produce,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,女性,Avalon,New Jersey,East,Ripe Warehouse,购买,Debit,-75,27,2320,1392,925.9
